Experiment,Sample_Type,Cell Line,Karyotype,Timepoint,Treatment,Tryptophan,L-Kynurenine,Kynurenic acid,L-Alanine,Picolinic acid,Nicotinamide,Indole-3-acetaldehyde,5-Hydroxy-L-tryptophan,Indole,Serotonin,Anthranilate,Xanthurenic acid,L-Arginine,3-Hydroxyanthranilate
4,Cells,5659,D21,24,IFN-,6188018.997,740163.8562,,86311.96,,205118.0625,108941.7265,195576.0081,591934.615,2705451.445,,119563.5703,89215.1641,0
4,Cells,2036,D21,24,IFN-,14710128.13,597187.8312,,226010.5,,284842.9062,173508.7109,613905.8398,2383875.75,2767561.463,,24978.2656,15902.9951,7829.9888
4,Cells,8447,D21,24,IFN-,14547710.78,347830.6446,,104858.4,,286026.5938,142663.9711,420977.6835,1212326.7,2726759.924,,151623.25,141417.9375,0
4,Cells,5397,T21,24,IFN-,6935009.203,559789.0937,,98621.03,,239435.2344,225933.5918,409349.685,987417.69,202693.4219,,17546.6816,53888.8125,24071.1621
4,Cells,2767,T21,24,IFN-,24976989.66,1445868.213,,285362.1,,243272.125,280607.1914,509760.1868,3093051.4,2489541.29,,34175.4922,18696.1152,0
4,Cells,4616,T21,24,IFN-,8491526.156,1024764.555,,171205.2,,527559.425,224599.3399,449292.2014,1125658.853,2353462.981,,28158.4434,47225.5156,13008.5752
4,Supernatant,5659,D21,0,IFN-,171630940.9,2136877.388,133423.25,,184029.7578,1940728.14,2097959.895,492075.903,9812153.023,14805871.34,54559.06,,431580.36,
4,Supernatant,2036,D21,0,IFN-,158849856.7,2316810.197,156444.2259,,142635.9531,1921820.1,2071444.319,688413.724,8264851.375,14896946.72,48771.2557,,434725.06,
4,Supernatant,8447,D21,0,IFN-,203560614.2,1572960.148,58662.8242,,191631.2032,2151386.245,2080537.745,552288.095,8722335.383,15203684.69,45904.62,,295766.96,
4,Supernatant,5397,T21,0,IFN-,131717906.5,2174819.391,158822.0247,,255926.7734,1586959.83,1381177.487,485575.294,7141462.117,16331999.28,23864.0052,,176987.21,
